comp_id;comp_name;country;city;level;date;format
IC2022RUSi;International Competition;RUS;Soleyonoe Zaimische;IC;23.8.2022;IR600
LT2022GRA;Graschnitz Regional;AUT;Graschnitz;LT;3.9.2022;IR900
NC2022GER;German National Championship;GER;Kronau;NC;17.9.2022;IR900
NC2022CZE;Czech National Championships;CZE;Otrokovice;NC;18.9.2022;IR900
LT2022MBK;Bedrich Korbar Memorial;CZE;Plumlov;LT;1.10.2022;IR900
IC2022ESB;17th Europa Cup;CRO;Slavonski Brod;IC;15.10.2022;IR600
LT2023WIE;Wien Championships;AUT;Vienna;LT;1.1.2023;IR900
LT2023LTL;Outdoor Tournament;CZE;Litultovice;LT;22.4.2023;IR900
LT2023SHL;Outdoor Tournament;CZE;Suche Lazce;LT;13.5.2023;IR900
NC2023GER;German National Championship;GER;Hannover;NC;28.5.2023;IR900
LT2023MFS;Frantisek Sedlacek Memorial;CZE;Kostelec na Hane;LT;3.6.2023;IR900
NC2023FRA;French National Championships;FRA;Tarbes;NC;18.6.2023;IR900
BC2023CZE;24th Bohemia Cup;CZE;Otrokovice;IC;25.6.2023;IR900
WC2023CZE;IAU World Cup;CZE;Otrokovice;WC;25.6.2023;IR900
NC2023BEL;Belgian National Championships;BEL;Brugge;NC;1.7.2023;IR900
CC2023VTR;28th Croatia Cup;CRO;Veliko Trgovisce;IC;23.7.2023;IR900
WC2023CRO;IAU World Cup;CRO;Veliko Trgovisce;WC;23.7.2023;IR900
LT2023LTL2;Outdoor Tournament;CZE;Litultovice;LT;5.8.2023;IR900
CE2023HUN;Duna Cup;HUN;Dunavarsany;IC;15.8.2023;IR900
NC2023AUT;Austrian National Championships;AUT;Graschnitz;NC;17.8.2023;IR900
WCH2023HUN;22nd IAU World Championship;HUN;Dunavarsany;WCH;20.8.2023;IR900
NC2023CZE;Czech National Championships;CZE;Plumlov;NC;10.9.2023;IR1800
WCF2023HUN;IAU World Cup Finals;HUN;Dunavarsany;WC;24.9.2023;IR300
LT2023MBK;Bedrich Korbar Memorial;CZE;Plumlov;LT;7.10.2023;IR900
IC2023ESB;18th Europa Cup;CRO;Slavonski Brod;IC;15.10.2023;IR600
IC2023RUS;International Competition;RUS;Solnechnogorsk;IC;7.11.2023;IR1200F
LT2024LTL;Outdoor Tournament;CZE;Litultovice;LT;20.4.2024;IR900
LT2024SHL;Outdoor Tournament;CZE;Suche Lazce;LT;18.5.2024;IR900
LT2024MFS;Frantisek Sedlacek Memorial;CZE;Kostelec na Hane;LT;1.6.2024;IR900
NC2024FRA;French National Championships;FRA;Bar-le-Duc;NC;9.6.2024;IR900
WC2024CZE;IAU World Cup;CZE;Plumlov;WC;22.6.2024;IR900
MC2024CZE;1st Moravia Cup;CZE;Plumlov;IC;23.6.2024;IR900
NC2024BEL;Belgian National Championships;BEL;Brugge;NC;29.6.2024;IR900
