athlete_id;comp_id;cat;rank;points
FRA00035;WC2019CZE;M;33;6,5
FRA00012;WC2019CZE;M;34;6
FRA00049;WC2019CZE;M;35;5
CRO00044;WC2019CZE;M;36;5
CZE00034;WC2019CZE;M;37;4
CZE00059;WC2019CZE;M;38;4
SUI00023;WC2019CZE;M;39;3
RUS00110;WC2019CZE;M;40;2
FRA00020;WC2019CZE;M;41;0
AUT00018;WC2019CZE;M;42;0
AUT00016;WC2019CZE;M;43;0
CZE00039;WC2019CZE;M;44;0
AUT00032;WC2019CZE;M;45;0
CZE00006;WC2019CZE;M;46;0
CZE00061;WC2019CZE;M;47;0
CZE00060;WC2019CZE;M;48;0
CZE00044;WC2019CZE;M;49;0
CZE00026;WC2019CZE;M;50;0
CZE00032;WC2019CZE;M;51;0
CZE00062;WC2019CZE;M;52;0
CZE00056;WC2019CZE;M;53;0
CZE00132;WC2019CZE;M;54;0
CZE00127;WC2019CZE;M;55;0
CZE00133;WC2019CZE;M;56;0
CZE00095;WC2019CZE;M;57;0
RUS00070;WC2019CZE;M;58;0
AUT00012;WC2019CZE;M;59;0
SUI00007;WC2019CZE;M;60;0
AUT00006;WC2019CZE;M;61;0
HUN00024;WC2019CZE;M;62;0
GER00086;WC2019CZE;M;63;0
HUN00041;WC2019CZE;M;64;0
GER00048;WC2019CZE;M;65;0
FRA00051;WC2019CZE;M;66;0
FRA00057;WC2019CZE;M;67;0
GER00003;WC2019CZE;M;68;0
EST00031;WC2019CZE;M;69;0
GER00035;WC2019CZE;M;70;0
FIN00030;WC2019CZE;M;71;0
RUS00090;WC2019CZE;M;72;0
EST00051;WC2019CZE;M;73;0
FRA00036;WC2019CZE;M;74;0
SUI00022;WC2019CZE;M;75;0
EST00010;WC2019CZE;M;76;0
EST00032;WC2019CZE;M;77;0
EST00016;WC2019CZE;M;78;0
FIN00004;WC2019CZE;M;79;0
FIN00053;WC2019CZE;M;80;0
AUT00015;WC2019CZE;M;81;0
SWE00011;WC2019CZE;M;82;0
EST00035;WC2019CZE;M;83;0
IRL00001;WC2019CZE;M;84;0
EST00050;WC2019CZE;M;85;0
EST00052;WC2019CZE;M;86;0
